Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6344385b91eaeb76e45c547a,59a959925ea0f30001281475,APPROVED,2022-10-10T15:21:02.167000Z,2022-10-10T15:43:41.025000Z,2022-10-10T16:21:45.856000,2022-10-10T15:43:41.527143Z,1359,24A88432,1053,4,100,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6344385d1db81d13d7a2286e,5bfaadc28422770001d9748f,APPROVED,2022-10-10T15:21:05.783000Z,2022-10-10T15:28:34.007000Z,2022-10-10T16:21:27.104000,2022-10-10T15:28:36.259722Z,449,24A88432,1076,1,100,63,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6344386808e1e0573e34c39e,5e80cd7d5a8b770009b6884e,APPROVED,2022-10-10T15:21:16.263000Z,2022-10-10T15:28:43.681000Z,2022-10-10T16:21:45.960000,2022-10-10T15:28:45.000249Z,448,24A88432,328,4,99,23,Female,White,Canada,Canada,Canada,English,No,Part-Time
634438717a902b6d4c1fff83,5f859da7c823900253085c48,APPROVED,2022-10-10T15:21:29.737000Z,2022-10-10T15:28:19.403000Z,2022-10-10T16:21:27.217000,2022-10-10T15:28:19.785327Z,410,24A88432,374,6,97,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
63443876afbce0f52a7e10e2,5bd3196a28dcce00013f9d77,APPROVED,2022-10-10T15:21:32.228000Z,2022-10-10T15:27:57.817000Z,2022-10-10T16:21:27.330000,2022-10-10T15:27:58.222792Z,386,24A88432,384,2,100,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
634438777b20aa549d48eb87,5a69fb0f0c0388000190efad,APPROVED,2022-10-10T15:21:30.483000Z,2022-10-10T15:27:51.604000Z,2022-10-10T16:21:46.068000,2022-10-10T15:27:52.063292Z,382,24A88432,536,3,100,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6344387801363d3fecdac3db,6093b556feedc7b71583967a,APPROVED,2022-10-10T15:21:43.879000Z,2022-10-10T15:26:55.465000Z,2022-10-10T16:21:27.446000,2022-10-10T15:26:55.911059Z,312,24A88432,53,0,100,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6344387bc7fcc8d08d729219,5c93073250e4fb0001f7907b,APPROVED,2022-10-10T15:21:35.454000Z,2022-10-10T15:26:27.228000Z,2022-10-10T16:21:46.177000,2022-10-10T15:26:27.668423Z,292,24A88432,487,1,100,40,Female,White,Canada,Canada,Ukraine,English,No,Full-Time
6344387e75afc0dbdaef8760,59479251f236120001ecf9a2,APPROVED,2022-10-10T15:21:36.891000Z,2022-10-10T15:27:03.151000Z,2022-10-10T16:21:27.555000,2022-10-10T15:27:03.581500Z,327,24A88432,901,6,99,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6344387efa8f3cb8302323ca,5ef51e6f12ad1916a987fde1,APPROVED,2022-10-10T15:21:37.085000Z,2022-10-10T15:27:49.988000Z,2022-10-10T16:21:46.285000,2022-10-10T15:27:51.225042Z,373,24A88432,361,1,100,20,Female,White,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
